,index,EU,ED,Spot,LU,LD
0,1-5-25 82,137.27226625,110.91826875,154.84914872340184,47.1040722739726,59.61496583105023
0,1-5-25 83,105.28615625000003,130.52167500000004,154.89649575719184,47.73051572146121,58.99490426312789
0,1-5-25 84,37.21753958333333,189.22045416666663,153.50958751329907,47.410876159246584,59.01179437157534
0,1-5-25 85,37.21753958333333,189.22045416666663,153.50958751329907,47.410876159246584,59.01179437157535
0,1-5-25 86,51.842722083333335,5.8658279166666665,166.10793971826482,47.57095882020548,59.93540651255708
0,1-5-25 87,137.27226625,110.91826875000002,166.10793971826487,47.5709588202055,59.93540651255709
0,1-5-25 88,51.842722083333335,5.8658279166666665,154.84914872340178,47.104072273972605,59.61496583105023
0,1-5-25 89,28.887862500000008,21.176975000000002,153.65230897402967,47.410876159246584,59.01179437157534
0,1-5-25 90,51.842722083333335,5.8658279166666665,165.96521825753422,47.57095882020548,59.9354065125571
0,1-5-25 91,137.27226624999994,110.91826875,154.84914872340184,47.1040722739726,59.61496583105023
0,1-5-25 92,28.8878625,21.176975000000002,153.50958751329907,47.410876159246584,59.01179437157535
0,1-5-25 93,51.84272208333332,5.8658279166666665,145.96627655051367,46.94321881906391,59.863495150114126
0,1-5-25 94,28.887862499999997,21.176974999999995,153.65230897402964,47.41087615924658,59.01179437157534
0,1-5-25 95,38.47159666666667,71.33803166666667,154.84914872340184,47.5709588202055,59.9354065125571
0,1-5-25 96,37.58138874999998,67.00564333333334,145.9189295167237,46.94321881906391,59.86349515011414
0,1-5-25 97,54.96269416666666,116.16028791666666,154.8964957571918,47.1040722739726,59.61496583105022
0,1-5-25 98,37.217539583333334,189.22045416666663,165.96521825753427,47.5709588202055,59.93540651255711
0,1-5-25 99,37.21753958333332,189.22045416666663,153.65230897402967,47.41087615924658,59.01179437157534
0,1-5-25 100,54.96269416666666,116.16028791666666,165.96521825753425,47.57095882020548,59.9354065125571
0,1-5-25 101,51.842722083333335,5.8658279166666665,145.91892951672372,46.94321881906392,59.86349515011415
0,1-5-25 102,137.27226625,110.91826875000002,153.5336953910959,47.73051572146121,58.99490426312787
0,1-5-25 103,64.32144458333333,115.02426708333337,154.84914872340187,47.57095882020548,59.9354065125571
0,1-5-25 104,105.28615625000003,130.521675,151.24521367237446,47.104072273972605,59.61496583105022
0,1-5-25 105,51.842722083333335,5.8658279166666665,154.8964957571918,47.730515721461195,58.994904263127886
0,1-5-25 106,54.962694166666644,116.16028791666663,154.89649575719173,47.410876159246584,59.01179437157533
0,1-5-25 107,54.962694166666665,116.16028791666666,154.84914872340178,47.1040722739726,59.61496583105023
0,1-5-25 108,51.842722083333335,5.8658279166666665,154.89649575719176,47.410876159246584,59.01179437157534
0,1-5-25 109,38.47159666666668,71.33803166666668,154.8491487234019,47.73051572146121,58.994904263127886
0,1-5-25 110,42.08791916666667,25.982914999999995,165.96521825753425,47.57095882020548,59.93540651255708
0,1-5-25 111,64.32144458333332,115.0242670833333,145.9189295167237,46.94321881906391,59.86349515011414
0,1-5-25 112,38.47159666666666,71.33803166666668,154.8964957571918,47.730515721461195,58.99490426312787
0,1-5-25 113,38.47159666666666,71.33803166666665,154.84914872340184,47.410876159246584,59.01179437157534
0,1-5-25 114,64.32144458333333,115.02426708333336,154.84914872340184,47.104072273972605,59.61496583105022
0,1-5-25 115,51.84272208333334,5.865827916666668,153.5336953910959,47.730515721461195,58.99490426312787
0,1-5-25 116,28.88786250000001,21.176975000000002,153.67641685182653,47.73051572146121,58.99490426312787
0,1-5-25 117,64.32144458333333,115.02426708333336,154.84914872340178,47.57095882020548,59.9354065125571
0,1-5-25 118,54.96269416666666,116.16028791666666,154.89649575719176,47.410876159246584,59.01179437157534
0,1-5-25 119,28.88786250000001,21.176975000000002,153.5336953910959,47.73051572146121,58.99490426312787
0,1-5-25 120,28.8878625,21.176975000000002,153.67289230839037,47.850597780821914,58.645123632990874
0,1-5-25 121,54.96269416666669,116.16028791666668,154.8964957571918,47.73051572146121,58.99490426312787
0,1-5-25 122,51.84272208333332,5.8658279166666665,154.89649575719176,47.10407227397258,59.61496583105022
0,1-5-25 123,51.84272208333332,5.8658279166666665,166.10793971826476,47.57095882020547,59.93540651255707
0,1-5-25 124,54.96269416666666,116.16028791666666,145.91892951672372,46.94321881906392,59.86349515011415
0,1-5-25 125,54.96269416666667,116.16028791666666,153.5095875132991,47.41087615924659,59.011794371575355
